Date ,Open,High,Low,ltp ,Close,VOLUME ,VALUE 
2011-01-03,13.55,13.6,13.05,13.15,13.15,111405508,1471522789
2011-01-04,13.9,14.05,13.3,13.5,13.4,122729693,1665062897
2011-01-05,13.9,14.15,13.7,13.8,13.75,113529974,1577815072
2011-01-06,13.8,14.2,13.7,13.9,13.95,137444898,1917955604
2011-01-07,14.7,14.95,13.8,13.9,14,255950390,3703241976
2011-01-10,14.2,14.65,14.05,14.45,14.45,287016764,4129758648
2011-01-11,13.3,14.2,13.25,14,14,371016070,5152278419
2011-01-12,13.25,13.45,13.1,13.25,13.25,89385559,1185158509
2011-01-13,12.65,13.7,12.6,13.15,13.1,318018723,4216995177
2011-01-14,12.6,12.9,12.5,12.55,12.6,82373982,1046671435
2011-01-17,12.65,12.7,12.5,12.5,12.55,59708926,752287279
2011-01-18,12.6,12.7,12.5,12.65,12.6,42857712,539872704.1
2011-01-19,12.25,12.7,12.15,12.55,12.45,111430763,1383499812
2011-01-20,12.15,12.95,12.1,12.2,12.4,187690847,2343990410
2011-01-21,12.35,12.45,12.15,12.2,12.15,68776074,843000176
2011-01-24,12.65,12.7,12.4,12.5,12.45,74233939,928657433.6
2011-01-25,12.6,12.8,12.55,12.75,12.75,49158856,623267776.9
2011-01-27,12.6,12.95,12.45,12.6,12.6,61441021,780086390.5
2011-01-28,12.55,12.7,12.45,12.55,12.55,69774910,876977215.5
2011-01-31,12.85,12.9,12.5,12.55,12.55,84612273,1071654653
2011-02-01,13.05,13.05,12.8,12.85,12.85,59537598,766955504.3
2011-02-02,13,13.15,12.95,13.05,13,33082573,431530046
2011-02-03,13.1,13.2,13,13,13.05,58369877,764508289.1
2011-02-04,13.2,13.25,13,13.05,13.05,48088769,629920077.5
2011-02-07,13.3,13.4,13.05,13.2,13.15,43718885,577073775.9
2011-02-08,13.25,13.6,13.2,13.25,13.25,122452763,1633487774
2011-02-09,13.1,13.15,13,13,13,42806649,558492856.8
2011-02-10,13.15,13.25,13.05,13.05,13.1,40719001,534171660.8
2011-02-11,13.2,13.45,13.05,13.15,13.1,68845607,908819533.6
2011-02-14,13.05,13.25,13,13.2,13.15,25871499,340174890.7
2011-02-15,13.1,13.15,12.95,12.95,13,50990867,664764357.2
2011-02-16,13.05,13.25,13,13.1,13.05,60470098,791143859.2
2011-02-17,12.85,13.25,12.7,13,13.05,95919811,1245778092
2011-02-18,12.95,13.05,12.55,12.75,12.8,105143336,1345982971
2011-02-21,13.1,13.1,12.65,12.75,12.75,122032074,1567512724
2011-02-22,13.5,13.6,13,13.1,13.05,148970323,1968232832
2011-02-23,13.35,13.65,13.25,13.5,13.45,103292300,1390279438
2011-02-24,14,14.1,13.2,13.25,13.35,156375061,2119417318
2011-02-25,14.55,14.65,13.4,13.7,13.75,332024855,4632692732
2011-02-28,13.6,14.45,13.5,14.45,14.3,248334945,3490377969
2011-03-01,13.6,13.75,13.3,13.5,13.5,100540663,1356590279
2011-03-03,14.1,14.25,13.5,13.6,13.6,146859092,2032275101
2011-03-04,13.45,14.35,13.35,13.95,13.95,327306508,4592560595
2011-03-07,13.25,13.45,13.2,13.25,13.2,82128218,1089978996
2011-03-08,13.3,13.35,13.2,13.25,13.25,76105307,1008667074
2011-03-09,13.1,13.35,13,13.2,13.2,107152589,1410005131
2011-03-10,13.3,13.35,13.05,13.1,13.05,58760797,774114778.3
2011-03-11,13.3,13.5,13.15,13.25,13.2,82980014,1099440631
2011-03-14,13.15,13.45,12.85,13.2,13.15,150895888,1986000399
2011-03-15,13.15,13.5,13,13.05,13.05,124309047,1642609904
2011-03-16,13.1,13.2,13,13.15,13.1,96849882,1269737961
2011-03-17,13.05,13.2,13,13.15,13.1,88762032,1162327798
2011-03-18,12.5,13.4,12.4,12.85,12.85,199414914,2580373815
2011-03-21,12.35,12.75,12.3,12.55,12.55,67706218,850820098.4
2011-03-22,12.65,12.85,12.2,12.3,12.3,195039117,2438049149
2011-03-23,13,13.2,12.55,12.65,12.75,115261485,1483772989
2011-03-24,13,13,12.8,12.9,12.9,54816217,707458788.3
2011-03-25,13,13.3,12.8,12.9,12.85,71409608,926624225.4
2011-03-28,13.25,13.35,12.95,13,13,78550572,1031236155
2011-03-29,13.1,13.4,13.05,13.15,13.15,90746640,1201271015
2011-03-30,12.9,13.05,12.55,13,13,110549666,1419289313
2011-03-31,13,13.75,12.7,12.8,12.8,180681962,2381031348
2011-04-01,14.35,14.5,12.95,13.35,13.25,582883624,7896967874
2011-04-04,12.95,15.05,12.9,14.3,14.7,910231884,12742926425
2011-04-05,12.6,12.85,12.3,12.7,12.7,338102064,4263270578
2011-04-06,11.1,12.85,11.05,12.6,12.45,777602458,9506320910
2011-04-07,11,11.15,10.9,11.05,11.1,115738343,1278192003
2011-04-08,10.9,11.1,10.8,11,10.95,89310141,980182618.1
2011-04-11,10.95,11.4,10.9,10.95,10.9,146456916,1619887454
2011-04-13,11.05,11.05,10.8,10.9,10.9,59519176,650652071.2
2011-04-15,11.15,11.2,10.95,11,11,58976619,651805810
2011-04-18,11.2,11.25,11.05,11.1,11.1,111419956,1240471799
2011-04-19,11.15,11.4,10.95,11.15,11.15,159594864,1784778667
2011-04-20,10.8,11.4,10.75,11.15,11.1,151330531,1670324747
2011-04-21,10.9,11,10.75,10.8,10.8,89884569,976414409.3
2011-04-25,11.15,11.15,10.8,10.9,10.9,115836903,1268950859
2011-04-26,10.95,11.15,10.9,11.1,11.05,62585083,689308766.8
2011-04-27,10.95,11.25,10.9,10.95,10.95,91932265,1015083148
2011-04-28,10.95,11.15,10.8,10.95,10.95,99499009,1093460442
2011-04-29,10.85,11.25,10.7,11,11,128570784,1408917797
